"release_name","scan_timestamp","lut_file_total","lut_byte_total","blocker_total","review_total","path","byte_size","sha256","table_type","title","grid_size","domain_min","domain_max","expected_rows","actual_rows","status","check_id","severity","line","evidence"
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","clean/neutral-1d.cube","165","705aab6efa58bc13b6d52063be1dbd45265be0a538f03ebff0cac7841f1d253c","1D","Neutral 1D","4","0 0 0","1 1 1","4","4","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","clean/warm-film.cube","272","d307d3155135a768317e62609dbda794d76ad1352d47849358a79aa582f40df5","3D","Warm Film","2","0 0 0","1 1 1","8","8","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","duplicates/clean-contrast-copy.cube","196","e7d4511b126b4793d4741bfe76b777d55167ec9dc415ccb690e519b22ad0ad53","1D","Clean Contrast","5","0 0 0","1 1 1","5","5","review","exact-duplicate","review","","Identical bytes also appear at: duplicates/clean-contrast.cube"
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","duplicates/clean-contrast-copy.cube","196","e7d4511b126b4793d4741bfe76b777d55167ec9dc415ccb690e519b22ad0ad53","1D","Clean Contrast","5","0 0 0","1 1 1","5","5","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","duplicates/clean-contrast.cube","196","e7d4511b126b4793d4741bfe76b777d55167ec9dc415ccb690e519b22ad0ad53","1D","Clean Contrast","5","0 0 0","1 1 1","5","5","review","exact-duplicate","review","","Identical bytes also appear at: duplicates/clean-contrast-copy.cube"
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","duplicates/clean-contrast.cube","196","e7d4511b126b4793d4741bfe76b777d55167ec9dc415ccb690e519b22ad0ad53","1D","Clean Contrast","5","0 0 0","1 1 1","5","5","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","equivalent/soft-a.cube","264","92050014b7ce5e3c04cf1686c6804f64dcc29c2b386b328deb95f559bb495cbc","3D","Soft A","2","0 0 0","1 1 1","8","8","review","equivalent-table-payload","review","","The parsed type, domain, and table values also appear at: equivalent/soft-b.cube"
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","equivalent/soft-a.cube","264","92050014b7ce5e3c04cf1686c6804f64dcc29c2b386b328deb95f559bb495cbc","3D","Soft A","2","0 0 0","1 1 1","8","8","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","equivalent/soft-b.cube","264","f3f785ba159e6a420c2ec9475db5f79a64071c7e393968a108a657d302052240","3D","Soft B","2","0 0 0","1 1 1","8","8","review","equivalent-table-payload","review","","The parsed type, domain, and table values also appear at: equivalent/soft-a.cube"
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","equivalent/soft-b.cube","264","f3f785ba159e6a420c2ec9475db5f79a64071c7e393968a108a657d302052240","3D","Soft B","2","0 0 0","1 1 1","8","8","review","mixed-grid-size","review","","Release contains mixed declared grids: 1D:4, 1D:5, 3D:2."
"fictional-lut-release.zip","2026-08-29T01:00:00.000Z","6","1357","0","11","README.txt","","","","","","","","","","review","non-cube-file","review","","A non-.cube file is present in the release ZIP; confirm it is intentional buyer content."
