"release_name","scan_timestamp","configured_limits","midi_file_total","non_midi_file_total","blocker_total","review_total","path","byte_size","sha256","smf_format","timing","declared_tracks","parsed_tracks","track_names","channels","note_on_count","pitch_range","velocity_range","tick_length","duration_seconds","tempo_events","key_signatures","time_signatures","sysex_count","status","check_id","severity","track_index","byte_offset","evidence"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","bass/clean-bass.midi","96","1b828a2bd2aba0f2b5225ebec0574aa0208652297374fdf8e8bae82da7967042","1","480 PPQ","2","2","Conductor | Bass","2","1","36-36","110-110","960","1.000000","0:120.000bpm","0:-1:1","0:3/4:24:8","0","passed","","","","",""
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","chords/clean-chord.mid","84","adb3da3d01330e08888d0b891e5a9bf073d7f7c866129091cbb2cdb96a18a41c","0","480 PPQ","1","1","Clean Chord","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","probable-performance-duplicate","review","","","The normalized performance stream also appears at: duplicates/exact-copy.mid, duplicates/exact.mid, duplicates/performance-a.mid, duplicates/performance-b.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","distinct/lead.mid","47","bd8a00c4f48e56eb9f22e7eb87216372d4d9170e4b5ce9e6e28dc161c2fed83f","0","480 PPQ","1","1","Distinct","1","1","72-72","70-70","240","0.250000","","","","0","passed","","","","",""
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/exact-copy.mid","90","5df65ea410da90725ac438b8929eac295193455ddf4626ad740d389637385b02","0","480 PPQ","1","1","Exact performance","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","exact-duplicate","review","","","Identical bytes also appear at: duplicates/exact.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/exact-copy.mid","90","5df65ea410da90725ac438b8929eac295193455ddf4626ad740d389637385b02","0","480 PPQ","1","1","Exact performance","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","probable-performance-duplicate","review","","","The normalized performance stream also appears at: chords/clean-chord.mid, duplicates/exact.mid, duplicates/performance-a.mid, duplicates/performance-b.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/exact.mid","90","5df65ea410da90725ac438b8929eac295193455ddf4626ad740d389637385b02","0","480 PPQ","1","1","Exact performance","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","exact-duplicate","review","","","Identical bytes also appear at: duplicates/exact-copy.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/exact.mid","90","5df65ea410da90725ac438b8929eac295193455ddf4626ad740d389637385b02","0","480 PPQ","1","1","Exact performance","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","probable-performance-duplicate","review","","","The normalized performance stream also appears at: chords/clean-chord.mid, duplicates/exact-copy.mid, duplicates/performance-a.mid, duplicates/performance-b.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/performance-a.mid","86","0a87a881bf0a5572b94844fd538abf6ebbb6e8bd4efee48dde61aee522932426","0","480 PPQ","1","1","Performance A","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","probable-performance-duplicate","review","","","The normalized performance stream also appears at: chords/clean-chord.mid, duplicates/exact-copy.mid, duplicates/exact.mid, duplicates/performance-b.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","duplicates/performance-b.mid","86","9b0bc1bf3b59d7a8508710ee77a2602713ef761025915346136f5fa9ea7a6f4d","0","480 PPQ","1","1","Performance B","1","2","60-64","90-100","480","0.500000","0:120.000bpm","0:0:0","0:4/4:24:8","0","review","probable-performance-duplicate","review","","","The normalized performance stream also appears at: chords/clean-chord.mid, duplicates/exact-copy.mid, duplicates/exact.mid, duplicates/performance-a.mid"
"fictional-midi-release.zip","2026-08-30T05:00:00.000Z","100 MB ZIP · 150 MB expanded · 2,000 MIDI files · 10 MB per MIDI · 5,000 entries · 240-character paths","7","1","0","8","README.txt","","","","","","","","","","","","","","","","","","review","non-midi-release-file","review","","","Confirm this non-MIDI file is intentional buyer content."
